"customerNumber","timestamp","description","amount","type","tag","accountNumber","sortCode"
"2340515967","""2013-01-01T14:09:05.570Z""","Supercuts",-15.19,"CAW","Healthcare","1146474841","96-22-92"
"2340515967","""2013-01-01T22:53:24.354Z""","Bodyshop",-7.1,"CAW","Healthcare","1146474841","96-22-92"
"2340515967","""2013-01-01T04:31:40.403Z""","RSPCA",-0.01,"CCW","Savings","4503897616167501",
"2340515967","""2013-01-01T10:24:10.984Z""","WWF",-7.16,"CCW","Charity","4503897616167501",
"2340515967","""2013-01-01T21:09:15.100Z""","Supercuts",-3.76,"CCW","Healthcare","4503897616167501",
"2340515967","""2013-01-01T10:46:46.808Z""","American Express",-7.72,"CCW","Debt","4503897616167501",
"2340515967","""2013-01-01T13:40:59.361Z""","Oxfam",-13.22,"CCW","Savings","4503897616167501",
"2340515967","""2013-01-02T05:17:29.597Z""","Thames Water",-37.42,"D/D","Water","1146474841","96-22-92"
"2340515967","""2013-01-03T20:10:08.102Z""","Primark",-23.76,"CAW","Clothing","1146474841","96-22-92"
"2340515967","""2013-01-03T08:54:48.243Z""","Brenda Ward",4.79,"CAD","-","1146474841","96-22-92"
"2340515967","""2013-01-03T23:41:37.456Z""","Pizza Express",-21.66,"CAW","Food","1146474841","96-22-92"
"2340515967","""2013-01-03T09:10:10.097Z""","Wonga",-8.34,"CAW","Debt","1146474841","96-22-92"
"2340515967","""2013-01-02T23:50:57.459Z""","Hitachi Personal Finance",-4.75,"CAW","Debt","1146474841","96-22-92"
"2340515967","""2013-01-03T00:39:23.687Z""","Sports Direct",-21.2,"CCW","Clothing","4503897616167501",
"2340515967","""2013-01-04T06:55:26.736Z""","Pizza Express",-27.83,"CCW","Food","4503897616167501",
"2340515967","""2013-01-04T05:00:11.203Z""","Arriva Wales",-1.01,"CCW","Transport","4503897616167501",
"2340515967","""2013-01-04T04:56:11.942Z""","Arriva Wales",-7.49,"CCW","Transport","4503897616167501",
"2340515967","""2013-01-05T08:36:42.212Z""","Barclaycard",-12.04,"CCW","Debt","4503897616167501",
"2340515967","""2013-01-05T16:47:39.539Z""","Shelter",-5.21,"CCW","Savings","4503897616167501",
"2340515967","""2013-01-06T18:02:03.948Z""","Bodyshop",-11.92,"CCW","Healthcare","4503897616167501",
"2340515967","""2013-01-07T17:41:42.797Z""","Rent",-600,"D/D","Housing","1146474841","96-22-92"
"2340515967","""2013-01-06T21:49:32.368Z""","Cancer Research",-10.53,"CCW","Savings","4503897616167501",
"2340515967","""2013-01-05T12:29:32.745Z""","Morrisons",-38.9,"CCW","Food","4503897616167501",
"2340515967","""2013-01-09T17:11:59.180Z""","Interest",1.47,"CAD","-","1146474841","96-22-92"
"2340515967","""2013-01-05T07:38:25.987Z""","Sainsburys",-33.58,"CAW","Food","1146474841","96-22-92"
"2340515967","""2013-01-07T19:00:10.877Z""","Morrisons",-30.57,"CCW","Food","4503897616167501",
"2340515967","""2013-01-11T15:07:28.299Z""","British Gas",-26.7,"D/D","Gas","1146474841","96-22-92"
"2340515967","""2013-01-12T00:35:48.280Z""","Lori Alexander",5.97,"CAD","-","1146474841","96-22-92"
"2340515967","""2013-01-12T15:21:02.184Z""","Cancer Research",-8.67,"CCW","Charity","4503897616167501",
"2340515967","""2013-01-09T01:58:58.575Z""","Supercuts",-8.36,"CCW","Healthcare","4503897616167501",
"2340515967","""2013-01-13T01:45:58.768Z""","Groupon",-0.01,"CCW","Entertainment","4503897616167501",
"2340515967","""2013-01-14T08:32:44.978Z""","TV Licence",-30.02,"D/D","Entertainment","1146474841","96-22-92"
"2340515967","""2013-01-13T13:16:35.538Z""","Arriva Wales",-5.43,"CCW","Transport","4503897616167501",
"2340515967","""2013-01-14T13:19:17.665Z""","Hitachi Personal Finance",-4.64,"CCW","Debt","4503897616167501",
"2340515967","""2013-01-15T21:14:01.484Z""","Cancer Research",-1,"CCW","Savings","4503897616167501",
"2340515967","""2013-01-15T00:09:45.462Z""","Primark",-10.45,"CCW","Clothing","4503897616167501",
"2340515967","""2013-01-15T21:50:16.483Z""","Save the Children",-0.01,"CCW","Charity","4503897616167501",
"2340515967","""2013-01-16T18:58:10.461Z""","Wonga",-0.26,"CCW","Debt","4503897616167501",
"2340515967","""2013-01-16T04:14:17.272Z""","National Express",-0.65,"CCW","Transport","4503897616167501",
"2340515967","""2013-01-16T01:01:10.271Z""","Wonga",-3.16,"CCW","Debt","4503897616167501",
"2340515967","""2013-01-16T02:48:29.556Z""","Sainsburys",-18.72,"CCW","Food","4503897616167501",
"2340515967","""2013-01-16T11:30:38.278Z""","Primark",-23.04,"CCW","Clothing","4503897616167501",
"2340515967","""2013-01-17T19:15:11.792Z""","Alan Scott",9.4,"CAD","-","1146474841","96-22-92"
"2340515967","""2013-01-17T12:46:47.420Z""","Brenda Ward",14.37,"CAD","-","1146474841","96-22-92"
"2340515967","""2013-01-17T15:51:55.475Z""","Brenda Ward",2.14,"CAD","-","1146474841","96-22-92"
"2340515967","""2013-01-17T03:39:40.531Z""","Superdrug",-9.46,"CCW","Healthcare","4503897616167501",
"2340515967","""2013-01-18T05:53:16.523Z""","Virgin Media",-71.43,"D/D","Internet","1146474841","96-22-92"
"2340515967","""2013-01-25T12:08:03.370Z""","Salary BACS Payment",2000,"BAC","Salary","1146474841","96-22-92"
"2340515967","""2013-01-20T09:50:53.018Z""","Nicole Bailey",3.57,"CAD","-","1146474841","96-22-92"
"2340515967","""2013-01-25T21:03:31.175Z""","Spotify",-8.37,"CAW","Entertainment","1146474841","96-22-92"
"2340515967","""2013-01-25T02:06:41.511Z""","RSPCA",-4.87,"CAW","Savings","1146474841","96-22-92"
"2340515967","""2013-01-25T19:49:46.990Z""","Superdrug",-12.75,"CAW","Healthcare","1146474841","96-22-92"
"2340515967","""2013-01-25T03:38:53.645Z""","Superdrug",-18.09,"CAW","Healthcare","1146474841","96-22-92"
"2340515967","""2013-01-26T06:39:26.979Z""","MegaBus",-13.61,"CAW","Transport","1146474841","96-22-92"
"2340515967","""2013-01-26T17:17:54.994Z""","Groupon",-23.53,"CAW","Entertainment","1146474841","96-22-92"
"2340515967","""2013-01-26T01:14:16.398Z""","Shelter",-16.7,"CAW","Savings","1146474841","96-22-92"
"2340515967","""2013-01-26T20:15:06.738Z""","Lori Alexander",4.3,"CAD","-","1146474841","96-22-92"
"2340515967","""2013-01-26T08:33:47.118Z""","Lush",-7.97,"CAW","Healthcare","1146474841","96-22-92"
"2340515967","""2013-01-26T20:40:06.438Z""","Superdrug",-43.88,"CAW","Healthcare","1146474841","96-22-92"
"2340515967","""2013-01-26T07:09:35.862Z""","Arriva Wales",-0.01,"CAW","Transport","1146474841","96-22-92"
"2340515967","""2013-01-26T15:48:59.184Z""","Arriva Wales",-4.33,"CAW","Transport","1146474841","96-22-92"
"2340515967","""2013-01-26T04:39:15.623Z""","Payment received thank you",-55.88,"CCD","Credit Repayment","1146474841","96-22-92"
"2340515967","""2013-01-26T07:36:51.584Z""","Payment received thank you",55.88,"CCD","Credit Repayment","4503897616167501",
"2340515967","""2013-01-27T01:39:23.352Z""","Supercuts",-4.87,"CAW","Healthcare","1146474841","96-22-92"
"2340515967","""2013-01-27T18:41:10.679Z""","Hitachi Personal Finance",-0.01,"CAW","Debt","1146474841","96-22-92"
"2340515967","""2013-01-27T23:13:35.622Z""","Wonga",-6.84,"CCW","Debt","4503897616167501",
"2340515967","""2013-01-29T06:03:07.831Z""","Barclaycard",-8.42,"CAW","Debt","1146474841","96-22-92"
"2340515967","""2013-01-28T02:11:41.754Z""","Spotify",-10.25,"CCW","Entertainment","4503897616167501",
"2340515967","""2013-01-29T19:15:44.942Z""","Sainsburys",-24.47,"CAW","Food","1146474841","96-22-92"
"2340515967","""2013-01-30T00:55:17.226Z""","Brenda Ward",1.94,"CAD","-","1146474841","96-22-92"
"2340515967","""2013-01-29T03:56:49.433Z""","Wonga",-13.81,"CAW","Debt","1146474841","96-22-92"
"2340515967","""2013-01-30T11:11:45.063Z""","Spotify",-27.25,"CCW","Entertainment","4503897616167501",
"2340515967","""2013-01-31T22:02:44.901Z""","Alan Scott",5.01,"CAD","-","1146474841","96-22-92"
"2340515967","""2013-01-31T23:05:38.130Z""","Cancer Research",-11.9,"CAW","Savings","1146474841","96-22-92"
"2340515967","""2013-01-31T19:40:56.700Z""","Barclaycard",-12.17,"CAW","Debt","1146474841","96-22-92"
"2340515967","""2013-01-31T04:34:40.092Z""","Primark",-10.35,"CAW","Clothing","1146474841","96-22-92"
"2340515967","""2013-01-31T13:39:02.562Z""","WWF",-12.22,"CAW","Charity","1146474841","96-22-92"
"2340515967","""2013-01-31T23:25:14.639Z""","Bodyshop",-2.49,"CCW","Healthcare","4503897616167501",
"2340515967","""2013-02-01T20:45:20.870Z""","RSPCA",-5.15,"CAW","Savings","1146474841","96-22-92"
"2340515967","""2013-02-02T23:10:45.687Z""","Thames Water",-37.42,"D/D","Water","1146474841","96-22-92"
"2340515967","""2013-02-02T21:04:05.136Z""","Barclaycard",-7.2,"CAW","Debt","1146474841","96-22-92"
"2340515967","""2013-02-02T22:34:44.338Z""","Pizza Express",-9.28,"CCW","Food","4503897616167501",
"2340515967","""2013-02-02T05:09:23.632Z""","Groupon",-25.82,"CCW","Entertainment","4503897616167501",
"2340515967","""2013-02-03T16:31:32.370Z""","Lush",-10.56,"CAW","Healthcare","1146474841","96-22-92"
"2340515967","""2013-02-04T12:30:17.985Z""","Sainsburys",-19.84,"CAW","Food","1146474841","96-22-92"
"2340515967","""2013-02-04T10:44:54.807Z""","Oxfam",-1.09,"CAW","Savings","1146474841","96-22-92"
"2340515967","""2013-02-04T23:51:48.577Z""","National Express",-2.14,"CAW","Transport","1146474841","96-22-92"
"2340515967","""2013-02-04T18:25:25.283Z""","Hitachi Personal Finance",-18.11,"CAW","Debt","1146474841","96-22-92"
"2340515967","""2013-02-04T20:13:45.665Z""","Morrisons",-13.98,"CAW","Food","1146474841","96-22-92"
"2340515967","""2013-02-04T04:10:58.804Z""","National Express",-0.07,"CAW","Transport","1146474841","96-22-92"
"2340515967","""2013-02-05T00:26:11.506Z""","Cancer Research",-1.45,"CAW","Charity","1146474841","96-22-92"
"2340515967","""2013-02-04T09:49:55.159Z""","Save the Children",-13.24,"CAW","Savings","1146474841","96-22-92"
"2340515967","""2013-02-05T07:19:49.267Z""","Interest",8.96,"CAD","-","1146474841","96-22-92"
"2340515967","""2013-02-05T00:15:05.412Z""","Bodyshop",-14.8,"CAW","Healthcare","1146474841","96-22-92"
"2340515967","""2013-02-05T09:18:14.443Z""","Save the Children",-4.34,"CAW","Charity","1146474841","96-22-92"
"2340515967","""2013-02-05T22:58:23.696Z""","RSPCA",-9.85,"CAW","Savings","1146474841","96-22-92"
"2340515967","""2013-02-06T22:46:37.544Z""","Matalan",-23.89,"CAW","Clothing","1146474841","96-22-92"
"2340515967","""2013-02-06T05:41:52.319Z""","Cancer Research",-3.86,"CAW","Savings","1146474841","96-22-92"
"2340515967","""2013-02-06T03:52:37.268Z""","Shelter",-9.44,"CAW","Charity","1146474841","96-22-92"
"2340515967","""2013-02-06T13:33:29.980Z""","Odeon Cinemas",-22.81,"CCW","Entertainment","4503897616167501",
"2340515967","""2013-02-06T18:41:47.957Z""","Sports Direct",-3.57,"CAW","Clothing","1146474841","96-22-92"
"2340515967","""2013-02-06T13:33:04.468Z""","Payment received thank you",-7.08,"CCD","Credit Repayment","1146474841","96-22-92"
"2340515967","""2013-02-07T22:26:05.398Z""","Rent",-600,"D/D","Housing","1146474841","96-22-92"
"2340515967","""2013-02-06T19:09:01.160Z""","Payment received thank you",7.08,"CCD","Credit Repayment","4503897616167501",
"2340515967","""2013-02-07T04:44:25.730Z""","RSPCA",-5.84,"CAW","Charity","1146474841","96-22-92"
"2340515967","""2013-02-08T13:59:59.173Z""","National Express",-9.36,"CAW","Transport","1146474841","96-22-92"
"2340515967","""2013-02-07T09:19:20.076Z""","MegaBus",-5.34,"CAW","Transport","1146474841","96-22-92"
"2340515967","""2013-02-07T21:11:57.308Z""","Shelter",-13.14,"CAW","Charity","1146474841","96-22-92"
"2340515967","""2013-02-09T21:55:26.586Z""","Brenda Ward",8.08,"CAD","-","1146474841","96-22-92"
"2340515967","""2013-02-09T16:59:22.473Z""","American Express",-9.44,"CAW","Debt","1146474841","96-22-92"
"2340515967","""2013-02-10T07:57:56.126Z""","Oxfam",-17.89,"CCW","Savings","4503897616167501",
"2340515967","""2013-02-10T18:10:33.476Z""","Wonga",-0.73,"CAW","Debt","1146474841","96-22-92"
"2340515967","""2013-02-11T13:58:04.395Z""","Shelter",-0.01,"CAW","Savings","1146474841","96-22-92"
"2340515967","""2013-02-08T03:34:27.058Z""","Matalan",-14.48,"CAW","Clothing","1146474841","96-22-92"
"2340515967","""2013-02-11T03:11:49.746Z""","Nicole Bailey",8.1,"CAD","-","1146474841","96-22-92"
"2340515967","""2013-02-11T18:26:10.240Z""","Nicole Bailey",3.77,"CAD","-","1146474841","96-22-92"
"2340515967","""2013-02-11T06:17:21.746Z""","Alan Scott",10.89,"CAD","-","1146474841","96-22-92"
